0.00,0.01,0.00, 0.49
0.00,0.01,0.08, 0.00
0.01,0.01,0.12, 0.00
0.00,0.01,0.01, 0.00
0.01,0.01,0.07, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.01,0.01,0.07, 0.00
0.00,0.01,0.00, 0.00
0.01,0.01,0.06, 0.00
0.01,0.01,0.09, 0.00
0.01,0.01,0.09, 0.00
0.01,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.01,0.01,0.06, 0.00
0.01,0.01,0.09, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.06, 0.00
0.00,0.01,0.00, 0.00
0.01,0.01,0.07, 0.00
0.01,0.01,0.09, 0.00
0.01,0.01,0.09, 0.00
0.01,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.03, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.00,0.04, 0.00
0.00,0.00,0.00, 0.00
0.01,0.00,0.07, 0.00
0.00,0.00,0.00, 0.00
0.01,0.00,0.06, 0.00
0.00,0.00,0.00, 0.00
0.00,0.00,0.00, 0.00
0.01,0.00,0.07, 0.00
0.01,0.00,0.10, 0.00
0.00,0.00,0.01, 0.00
0.00,0.00,0.00, 0.00
0.00,0.00,0.00, 0.00
0.00,0.00,0.06, 0.00
0.00,0.00,0.00, 0.00
0.01,0.00,0.06, 0.00
0.01,0.00,0.09, 0.00
0.00,0.01,0.00, 0.25
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.05, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.05, 0.00
0.01,0.01,0.09, 0.00
0.00,0.01,0.01, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.06, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.05, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.06, 0.00
0.01,0.01,0.09, 0.00
0.00,0.01,0.01, 0.00
0.01,0.01,0.06, 0.00
0.00,0.01,0.00, 0.00
0.00,0.01,0.00, 0.00
