0.00,0.05,0.00, 2.24
0.00,0.05,0.00, 0.01
0.00,0.05,0.00, 0.00
0.02,0.05,0.99, 0.50
0.02,0.05,0.01, 0.00
0.04,0.05,0.99, 0.00
0.06,0.05,1.00, 0.00
0.06,0.05,0.01, 0.50
0.09,0.06,1.48, 0.25
0.06,0.05,0.00, 0.00
0.06,0.05,0.00, 0.00
0.04,0.05,0.00, 0.00
0.02,0.05,0.00, 0.00
0.02,0.05,0.00, 0.50
0.00,0.06,0.00, 0.25
0.02,0.06,0.99, 0.00
0.00,0.05,0.00, 0.00
0.00,0.05,0.00, 0.00
0.02,0.05,0.99, 0.00
0.00,0.05,0.00, 0.00
0.02,0.05,0.99, 0.00
0.02,0.05,0.01, 0.00
0.02,0.05,0.00, 0.00
0.02,0.05,0.00, 0.00
0.04,0.05,0.99, 0.50
0.06,0.05,1.00, 0.00
0.06,0.07,0.01, 1.25
0.04,0.06,0.00, 0.00
0.02,0.05,0.00, 0.00
0.02,0.05,0.00, 0.00
0.02,0.05,0.00, 0.00
0.02,0.05,0.00, 0.00
0.00,0.05,0.00, 0.50
0.02,0.05,0.99, 0.00
0.00,0.05,0.00, 0.00
0.00,0.05,0.00, 0.50
0.04,0.06,1.97, 0.25
0.04,0.05,0.03, 0.00
0.06,0.05,0.99, 0.50
0.09,0.06,1.49, 0.25
0.04,0.06,0.00, 0.00
0.04,0.06,0.00, 0.00
0.02,0.06,0.00, 0.00
0.02,0.05,0.00, 0.00
0.02,0.05,0.00, 0.00
0.02,0.05,0.00, 0.50
0.02,0.05,0.00, 0.00
0.02,0.05,0.00, 0.50
0.00,0.05,0.00, 0.00
0.04,0.05,1.97, 0.00
0.04,0.05,0.03, 0.50
0.06,0.06,0.99, 0.25
0.06,0.06,0.01, 0.00
0.06,0.05,0.00, 0.00
0.04,0.05,0.00, 0.50
0.02,0.05,0.00, 0.00
0.02,0.05,0.00, 0.00
0.02,0.05,0.00, 0.50
0.02,0.05,0.00, 0.00
0.02,0.04,0.00, 0.00
0.02,0.05,0.00, 1.00
0.00,0.05,0.00, 0.00
0.02,0.04,0.99, 0.00
0.04,0.05,1.00, 1.00
0.06,0.06,1.00, 0.25
0.06,0.05,0.01, 0.00
0.06,0.05,0.00, 0.50
0.04,0.06,0.00, 0.25
0.00,0.06,0.00, 0.00
0.02,0.05,0.99, 0.00
0.04,0.05,1.00, 0.00
0.02,0.05,0.00, 0.00
0.00,0.05,0.00, 0.00
